job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,salary_in_gbp
Machine Learning Scientist,Entry-level,Full-time,Remote,2022,Italy,33000,EUR,34672,Germany,Small,28431.039999999997
Data Scientist,Mid-level,Full-time,Remote,2022,Germany,72000,EUR,75648,Germany,Small,62031.35999999999
Research Scientist,Mid-level,Full-time,On-site,2022,Germany,120000,EUR,126080,Germany,Small,103385.59999999999
Research Scientist,Mid-level,Full-time,On-site,2022,Germany,80000,EUR,84053,Germany,Small,68923.45999999999
Data Scientist,Entry-level,Full-time,Hybrid,2022,United States,50000,USD,50000,Germany,Medium,41000.0
BI Data Analyst,Mid-level,Full-time,Remote,2022,Germany,48000,EUR,50432,Germany,Small,41354.24
Data Scientist,Mid-level,Full-time,Remote,2022,Germany,58000,EUR,60938,Germany,Small,49969.159999999996
Data Engineer,Mid-level,Full-time,Hybrid,2022,Germany,62500,EUR,65666,Germany,Small,53846.119999999995
Machine Learning Engineer,Mid-level,Full-time,Remote,2022,France,80000,EUR,84053,Germany,Medium,68923.45999999999
Data Engineer,Mid-level,Part-time,Hybrid,2022,Germany,50000,EUR,52533,Germany,Large,43077.06
Data Engineer,Entry-level,Full-time,Remote,2022,Pakistan,52800,EUR,55475,Germany,Medium,45489.5
Principal Data Scientist,Senior-level,Full-time,Remote,2022,Germany,148000,EUR,155499,Germany,Medium,127509.18
Lead Machine Learning Engineer,Senior-level,Full-time,On-site,2022,Germany,80000,EUR,84053,Germany,Medium,68923.45999999999
Applied Machine Learning Scientist,Entry-level,Contract,Remote,2022,Tunisia,29000,EUR,30469,Czech Republic,Medium,24984.579999999998
AI Scientist,Senior-level,Full-time,Remote,2022,Colombia,125000,USD,125000,Colombia,Large,102500.0
Machine Learning Engineer,Entry-level,Full-time,Remote,2022,Switzerland,54000,CHF,56536,Switzerland,Small,46359.52
Machine Learning Engineer,Mid-level,Full-time,Remote,2022,Switzerland,100000,CHF,104697,Switzerland,Large,85851.54
Data Scientist,Mid-level,Full-time,On-site,2022,Switzerland,115000,CHF,120402,Switzerland,Large,98729.64
AI Developer,Senior-level,Full-time,On-site,2022,Canada,275000,USD,275000,Canada,Small,225500.0
Machine Learning Software Engineer,Senior-level,Full-time,Remote,2022,Canada,248400,USD,248400,Canada,Medium,203688.0
Machine Learning Software Engineer,Senior-level,Full-time,Remote,2022,Canada,183600,USD,183600,Canada,Medium,150552.0
AI Scientist,Entry-level,Full-time,Hybrid,2022,Canada,200000,USD,200000,Canada,Large,164000.0
Machine Learning Software Engineer,Senior-level,Full-time,Remote,2022,Canada,227200,USD,227200,Canada,Medium,186304.0
Machine Learning Software Engineer,Senior-level,Full-time,Remote,2022,Canada,168000,USD,168000,Canada,Medium,137760.0
Data Engineer,Senior-level,Full-time,On-site,2022,Canada,178000,USD,178000,Canada,Medium,145960.0
Data Engineer,Senior-level,Full-time,On-site,2022,Canada,132000,USD,132000,Canada,Medium,108240.0
Machine Learning Researcher,Mid-level,Full-time,Hybrid,2022,Canada,137000,CAD,105236,Canada,Large,86293.51999999999
Data Analyst,Mid-level,Full-time,On-site,2022,Canada,100000,USD,100000,Canada,Medium,82000.0
Data Analyst,Mid-level,Full-time,On-site,2022,Canada,65000,USD,65000,Canada,Medium,53300.0
Machine Learning Engineer,Senior-level,Full-time,Remote,2022,Canada,187200,USD,187200,Canada,Medium,153504.0
Machine Learning Engineer,Senior-level,Full-time,Remote,2022,Canada,116100,USD,116100,Canada,Medium,95202.0
Data Scientist,Entry-level,Full-time,Remote,2022,Canada,96000,CAD,73742,Canada,Large,60468.439999999995
Big Data Engineer,Senior-level,Full-time,Hybrid,2022,Canada,210000,CAD,161311,Canada,Medium,132275.02
Data Manager,Executive-level,Full-time,Hybrid,2022,Canada,164000,CAD,125976,Canada,Large,103300.31999999999
Machine Learning Engineer,Senior-level,Full-time,On-site,2022,Canada,140000,USD,140000,Canada,Medium,114800.0
Machine Learning Engineer,Senior-level,Full-time,On-site,2022,Canada,110000,USD,110000,Canada,Medium,90200.0
Data Engineer,Senior-level,Full-time,Remote,2022,Canada,185800,USD,185800,Canada,Medium,152356.0
Data Engineer,Senior-level,Full-time,Remote,2022,Canada,137400,USD,137400,Canada,Medium,112668.0
Lead Data Engineer,Executive-level,Full-time,Remote,2022,Canada,150000,CAD,115222,Canada,Small,94482.04
Data Architect,Senior-level,Full-time,Remote,2022,Canada,192400,USD,192400,Canada,Medium,157768.0
Data Architect,Senior-level,Full-time,Remote,2022,Canada,90700,USD,90700,Canada,Medium,74374.0
Data Analyst,Senior-level,Full-time,Remote,2022,Canada,130000,USD,130000,Canada,Medium,106600.0
Data Analyst,Senior-level,Full-time,Remote,2022,Canada,61300,USD,61300,Canada,Medium,50266.0
Data Analyst,Mid-level,Full-time,On-site,2022,Canada,85000,USD,85000,Canada,Medium,69700.0
Data Analyst,Mid-level,Full-time,On-site,2022,Canada,75000,USD,75000,Canada,Medium,61499.99999999999
Data Analyst,Entry-level,Full-time,On-site,2022,Canada,67000,USD,67000,Canada,Medium,54940.0
Data Analyst,Entry-level,Full-time,On-site,2022,Canada,52000,USD,52000,Canada,Medium,42640.0
Machine Learning Developer,Mid-level,Full-time,Remote,2022,Canada,100000,CAD,76814,Canada,Medium,62987.479999999996
Director of Data Science,Executive-level,Full-time,Hybrid,2022,Canada,250000,CAD,192037,Canada,Large,157470.34
Business Data Analyst,Mid-level,Full-time,Hybrid,2022,Canada,90000,CAD,69133,Canada,Large,56689.06
Data Scientist,Mid-level,Full-time,Remote,2022,Canada,88000,CAD,67597,Canada,Medium,55429.53999999999
Data Scientist,Entry-level,Full-time,Remote,2022,Canada,66500,CAD,51081,Canada,Large,41886.42
Machine Learning Developer,Senior-level,Full-time,Remote,2022,Canada,100000,CAD,76814,Canada,Medium,62987.479999999996
Principal Data Analyst,Mid-level,Full-time,Remote,2022,Canada,75000,USD,75000,Canada,Small,61499.99999999999
Analytics Engineer,Mid-level,Full-time,Remote,2022,Brazil,78000,USD,78000,Brazil,Medium,63959.99999999999
Analytics Engineer,Mid-level,Full-time,Remote,2022,Brazil,48000,USD,48000,Brazil,Medium,39360.0
Data Engineer,Mid-level,Full-time,Remote,2022,Brazil,78000,USD,78000,Brazil,Medium,63959.99999999999
Data Engineer,Mid-level,Full-time,Remote,2022,Brazil,42000,USD,42000,Brazil,Medium,34440.0
BI Analyst,Mid-level,Full-time,Remote,2022,Brazil,78000,USD,78000,Brazil,Medium,63959.99999999999
BI Analyst,Mid-level,Full-time,Remote,2022,Brazil,48000,USD,48000,Brazil,Medium,39360.0
Data Scientist,Mid-level,Full-time,Remote,2022,Brazil,84000,USD,84000,Brazil,Medium,68880.0
Data Scientist,Mid-level,Full-time,Remote,2022,Brazil,54000,USD,54000,Brazil,Medium,44280.0
Data Scientist,Entry-level,Full-time,Remote,2022,Belgium,80000,EUR,84053,Belgium,Large,68923.45999999999
Data Scientist,Entry-level,Full-time,Hybrid,2022,Belgium,49500,EUR,52008,Belgium,Small,42646.56
Data Scientist Lead,Mid-level,Full-time,Hybrid,2022,Austria,85000,EUR,89306,Austria,Large,73230.92
Applied Data Scientist,Entry-level,Full-time,Hybrid,2022,Austria,50000,USD,50000,Austria,Medium,41000.0
Research Scientist,Mid-level,Full-time,On-site,2022,Austria,59000,EUR,61989,Austria,Large,50830.979999999996
AI Programmer,Entry-level,Full-time,Remote,2022,Pakistan,40000,USD,40000,Australia,Medium,32800.0
Machine Learning Developer,Entry-level,Full-time,Remote,2022,Pakistan,40000,USD,40000,Australia,Medium,32800.0
Data Analyst,Senior-level,Full-time,Remote,2022,United States,171000,USD,171000,Australia,Large,140220.0
Data Scientist,Mid-level,Full-time,On-site,2022,Australia,120000,AUD,83171,Australia,Large,68200.22
BI Data Analyst,Mid-level,Full-time,Hybrid,2022,Australia,65000,AUD,45050,Australia,Large,36941.0
BI Data Analyst,Mid-level,Full-time,Remote,2022,Australia,77000,AUD,53368,Australia,Medium,43761.759999999995
Data Science Manager,Senior-level,Full-time,Remote,2022,Australia,193000,AUD,133766,Australia,Large,109688.12
Machine Learning Engineer,Mid-level,Full-time,Remote,2022,Australia,121000,AUD,83864,Australia,Large,68768.48
Data Scientist,Entry-level,Full-time,Hybrid,2022,Australia,120000,AUD,83171,Australia,Medium,68200.22
Computer Vision Software Engineer,Entry-level,Full-time,Remote,2022,Australia,150000,USD,150000,Australia,Small,122999.99999999999
Data Analyst,Entry-level,Full-time,Remote,2022,Argentina,50000,USD,50000,Argentina,Large,41000.0
Staff Machine Learning Engineer,Senior-level,Full-time,Hybrid,2021,United States,185000,USD,185000,United States,Medium,151700.0
Business Data Analyst,Mid-level,Part-time,Remote,2021,Ghana,56000,USD,56000,United States,Medium,45920.0
Data Science Lead,Mid-level,Full-time,Remote,2021,United States,150000,USD,150000,United States,Medium,122999.99999999999
Data Analyst,Senior-level,Full-time,Remote,2021,United States,115000,USD,115000,United States,Small,94300.0
Cloud Data Architect,Senior-level,Full-time,Hybrid,2021,United States,250000,USD,250000,United States,Large,205000.0
Data Scientist,Mid-level,Full-time,Hybrid,2021,United States,109000,USD,109000,United States,Large,89380.0
Data Engineer,Senior-level,Full-time,On-site,2021,United States,150000,USD,150000,United States,Large,122999.99999999999
Data Science Manager,Senior-level,Full-time,On-site,2021,United States,240000,USD,240000,United States,Large,196800.0
Data Analyst,Mid-level,Full-time,Remote,2021,United States,135000,USD,135000,United States,Large,110700.0
Data Scientist,Entry-level,Full-time,Remote,2021,United States,80000,USD,80000,United States,Medium,65600.0
Principal Data Scientist,Senior-level,Full-time,On-site,2021,United States,220000,USD,220000,United States,Large,180400.0
Data Analyst,Mid-level,Full-time,Remote,2021,United States,90000,USD,90000,United States,Medium,73800.0
Data Scientist,Entry-level,Full-time,On-site,2021,United States,100000,USD,100000,United States,Small,82000.0
Applied Machine Learning Scientist,Mid-level,Full-time,Remote,2021,Vietnam,38400,USD,38400,United States,Medium,31487.999999999996
Data Scientist,Mid-level,Full-time,Remote,2021,United States,82500,USD,82500,United States,Small,67650.0
Machine Learning Scientist,Senior-level,Full-time,Hybrid,2021,United States,120000,USD,120000,United States,Small,98400.0
Data Analyst,Entry-level,Full-time,Remote,2021,United States,50000,USD,50000,United States,Medium,41000.0
Principal Data Engineer,Senior-level,Full-time,Remote,2021,United States,200000,USD,200000,United States,Medium,164000.0
Data Engineer,Mid-level,Full-time,Remote,2021,United States,200000,USD,200000,United States,Large,164000.0
Data Engineer,Mid-level,Full-time,Remote,2021,United States,100000,USD,100000,United States,Large,82000.0
Data Architect,Mid-level,Full-time,Remote,2021,United States,170000,USD,170000,United States,Large,139400.0
Data Architect,Mid-level,Full-time,Remote,2021,United States,150000,USD,150000,United States,Large,122999.99999999999
BI Data Analyst,Entry-level,Full-time,Hybrid,2021,United States,55000,USD,55000,United States,Small,45100.0
Director of Data Science,Executive-level,Full-time,On-site,2021,United States,250000,USD,250000,United States,Large,205000.0
Data Engineer,Entry-level,Full-time,Remote,2021,United States,80000,USD,80000,United States,Large,65600.0
Machine Learning Engineer,Entry-level,Full-time,Remote,2021,United States,125000,USD,125000,United States,Small,102500.0
Data Analytics Manager,Senior-level,Full-time,Remote,2021,United States,120000,USD,120000,United States,Medium,98400.0
Data Science Manager,Senior-level,Full-time,Remote,2021,United States,144000,USD,144000,United States,Large,118080.0
Data Scientist,Mid-level,Full-time,Remote,2021,United States,150000,USD,150000,United States,Medium,122999.99999999999
Data Engineer,Senior-level,Full-time,Remote,2021,United States,153000,USD,153000,United States,Large,125459.99999999999
Data Engineer,Mid-level,Full-time,Remote,2021,United States,90000,USD,90000,United States,Large,73800.0
Data Analyst,Entry-level,Full-time,Remote,2021,United States,90000,USD,90000,United States,Small,73800.0
Data Analyst,Entry-level,Full-time,Remote,2021,United States,60000,USD,60000,United States,Small,49200.0
ML Engineer,Mid-level,Contract,Remote,2021,United States,270000,USD,270000,United States,Large,221400.0
Data Analytics Engineer,Mid-level,Full-time,Remote,2021,United States,110000,USD,110000,United States,Large,90200.0
Data Analyst,Senior-level,Full-time,Remote,2021,Bulgaria,80000,USD,80000,United States,Small,65600.0
Data Engineer,Mid-level,Full-time,Remote,2021,United States,140000,USD,140000,United States,Large,114800.0
Lead Data Analyst,Senior-level,Full-time,Remote,2021,United States,170000,USD,170000,United States,Large,139400.0
Data Analyst,Entry-level,Full-time,Remote,2021,United States,80000,USD,80000,United States,Medium,65600.0
BI Data Analyst,Mid-level,Full-time,Remote,2021,United States,100000,USD,100000,United States,Medium,82000.0
Head of Data,Executive-level,Full-time,Remote,2021,United States,235000,USD,235000,United States,Large,192700.0
BI Data Analyst,Executive-level,Full-time,Remote,2021,India,150000,USD,150000,United States,Large,122999.99999999999
Machine Learning Scientist,Entry-level,Full-time,Remote,2021,United States,225000,USD,225000,United States,Large,184500.0
Data Engineer,Senior-level,Full-time,Remote,2021,United States,150000,USD,150000,United States,Medium,122999.99999999999
